Order_ID,Account_ID,Order_Date,Year,Month,Month_Name,Total_Quantity,Sales_USD,Rep_ID,Region_ID,Region_Name
1,1001,2015-10-06 00:00:00,2015,10,Oct,169,973.43,321500,1,Northeast
2,1001,2015-11-05 00:00:00,2015,11,Nov,288,1718.03,321500,1,Northeast
3,1001,2015-12-04 00:00:00,2015,12,Dec,132,776.18,321500,1,Northeast
4,1001,2016-01-02 00:00:00,2016,1,Jan,176,958.24,321500,1,Northeast
5,1001,2016-02-01 00:00:00,2016,2,Feb,165,983.49,321500,1,Northeast
6,1001,2016-03-02 00:00:00,2016,3,Mar,173,1067.25,321500,1,Northeast
7,1001,2016-04-01 00:00:00,2016,4,Apr,226,1498.2,321500,1,Northeast
8,1001,2016-05-01 00:00:00,2016,5,May,293,2052.2,321500,1,Northeast
9,1001,2016-05-31 00:00:00,2016,5,May,129,752.57,321500,1,Northeast
10,1001,2016-06-30 00:00:00,2016,6,Jun,148,878.56,321500,1,Northeast
11,1001,2016-07-30 00:00:00,2016,7,Jul,137,773.63,321500,1,Northeast
12,1001,2016-08-28 00:00:00,2016,8,Aug,196,1182.61,321500,1,Northeast
13,1001,2016-09-26 00:00:00,2016,9,Sep,158,951.14,321500,1,Northeast
14,1001,2016-10-26 00:00:00,2016,10,Oct,294,1993.58,321500,1,Northeast
15,1001,2016-11-25 00:00:00,2016,11,Nov,210,1283.12,321500,1,Northeast
16,1001,2016-12-24 00:00:00,2016,12,Dec,269,1719.28,321500,1,Northeast
17,1011,2016-12-21 00:00:00,2016,12,Dec,541,2734.59,321510,1,Northeast
18,1021,2015-10-12 00:00:00,2015,10,Oct,539,2747.11,321520,1,Northeast
19,1021,2015-11-11 00:00:00,2015,11,Nov,558,2936.92,321520,1,Northeast
20,1021,2015-12-11 00:00:00,2015,12,Dec,504,2580.69,321520,1,Northeast
21,1021,2016-01-10 00:00:00,2016,1,Jan,569,2945.73,321520,1,Northeast
22,1021,2016-02-09 00:00:00,2016,2,Feb,515,2608.02,321520,1,Northeast
23,1021,2016-03-10 00:00:00,2016,3,Mar,578,2944.24,321520,1,Northeast
24,1031,2016-12-25 00:00:00,2016,12,Dec,1363,7474.32,321530,1,Northeast
25,1041,2016-10-14 00:00:00,2016,10,Oct,395,2257.02,321540,1,Northeast
26,1041,2016-11-13 00:00:00,2016,11,Nov,329,1696.71,321540,1,Northeast
27,1041,2016-12-12 00:00:00,2016,12,Dec,212,1208.61,321540,1,Northeast
28,1051,2016-08-02 00:00:00,2016,8,Aug,589,3149.11,321550,1,Northeast
29,1051,2016-09-01 00:00:00,2016,9,Sep,542,2820.25,321550,1,Northeast
30,1051,2016-10-01 00:00:00,2016,10,Oct,487,2433.26,321550,1,Northeast
31,1051,2016-10-31 00:00:00,2016,10,Oct,595,3206.02,321550,1,Northeast
32,1051,2016-11-30 00:00:00,2016,11,Nov,508,2579.92,321550,1,Northeast
33,1051,2016-12-30 00:00:00,2016,12,Dec,497,2485.66,321550,1,Northeast
34,1061,2016-10-19 00:00:00,2016,10,Oct,365,2023.34,321560,1,Northeast
35,1061,2016-11-17 00:00:00,2016,11,Nov,269,1403.02,321560,1,Northeast
36,1061,2016-12-16 00:00:00,2016,12,Dec,330,1758.04,321560,1,Northeast
37,1071,2016-12-13 00:00:00,2016,12,Dec,853,4393.44,321570,1,Northeast
38,1081,2015-02-12 00:00:00,2015,2,Feb,367,2055.82,321580,1,Northeast
39,1081,2015-03-13 00:00:00,2015,3,Mar,334,1744.91,321580,1,Northeast
40,1081,2015-04-12 00:00:00,2015,4,Apr,333,1771.1,321580,1,Northeast
41,1081,2015-05-12 00:00:00,2015,5,May,322,1741.25,321580,1,Northeast
42,1081,2015-06-11 00:00:00,2015,6,Jun,389,2225.17,321580,1,Northeast
43,1081,2015-07-11 00:00:00,2015,7,Jul,524,2888.25,321580,1,Northeast
44,1081,2015-08-09 00:00:00,2015,8,Aug,330,1734.87,321580,1,Northeast
45,1081,2015-09-07 00:00:00,2015,9,Sep,343,1849.17,321580,1,Northeast
46,1081,2015-11-06 00:00:00,2015,11,Nov,375,2016.33,321580,1,Northeast
47,1081,2015-12-05 00:00:00,2015,12,Dec,349,1840.92,321580,1,Northeast
48,1081,2016-01-03 00:00:00,2016,1,Jan,542,3405.62,321580,1,Northeast
49,1081,2016-02-01 00:00:00,2016,2,Feb,349,1884.76,321580,1,Northeast
50,1081,2016-03-02 00:00:00,2016,3,Mar,341,1898.62,321580,1,Northeast
51,1081,2016-04-30 00:00:00,2016,4,Apr,542,2816.53,321580,1,Northeast
52,1081,2016-05-30 00:00:00,2016,5,May,376,2152.01,321580,1,Northeast
53,1081,2016-06-28 00:00:00,2016,6,Jun,374,1994.49,321580,1,Northeast
54,1081,2016-07-28 00:00:00,2016,7,Jul,375,2065.72,321580,1,Northeast
55,1081,2016-08-26 00:00:00,2016,8,Aug,327,1788.13,321580,1,Northeast
56,1081,2016-09-24 00:00:00,2016,9,Sep,465,2748.98,321580,1,Northeast
57,1081,2016-10-24 00:00:00,2016,10,Oct,331,1721.69,321580,1,Northeast
