Rep_ID,Region_ID,Region_Name,Month,Working_Days,Attendance_Days,Attendance_Rate,Planned_Visits,Completed_Visits,Visit_Completion_Rate,Visit_Gap,Merchandising_Compliance,Merchandising_Target,Merchandising_Gap,Product_Availability,Availability_Target,Availability_Gap,Actual_Sales,Target_Multiplier,Target,Sales_Achievement,Sales_Gap,Performance_Status,Data_Type
321500,1,Northeast,2015-01-01 00:00:00,26,23,0.884615384615385,480,413,0.860416666666667,-67,0.7299,0.9,-0.1701,0.7952,0.95,-0.1548,1967.79,1.05,4580.31525,0.429618900140116,-2612.52525,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-02-01 00:00:00,26,22,0.846153846153846,488,395,0.809426229508197,-93,0.7713,0.9,-0.1287,0.8649,0.95,-0.0851,1857.89,1.06,4623.9373,0.401798268328595,-2766.0473,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-03-01 00:00:00,26,22,0.846153846153846,496,433,0.872983870967742,-63,0.722,0.9,-0.178,0.7934,0.95,-0.1566,1857.85,1.07,4667.55935,0.398034574536262,-2809.70935,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-04-01 00:00:00,26,23,0.884615384615385,504,433,0.859126984126984,-71,0.8058,0.9,-0.0942000000000001,0.8455,0.95,-0.1045,1801.7,1.08,4711.1814,0.382430614962098,-2909.4814,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-05-01 00:00:00,26,22,0.846153846153846,480,392,0.816666666666667,-88,0.811,0.9,-0.089,0.8118,0.95,-0.1382,2189.39,1.09,4754.80345,0.460458570585079,-2565.41345,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-06-01 00:00:00,26,22,0.846153846153846,488,385,0.788934426229508,-103,0.7488,0.9,-0.1512,0.8266,0.95,-0.1234,1764.28,1.1,4798.4255,0.367678939685528,-3034.1455,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-07-01 00:00:00,26,23,0.884615384615385,496,428,0.862903225806452,-68,0.766,0.9,-0.134,0.8173,0.95,-0.1327,1884.17,1.11,4842.04755,0.389126703227026,-2957.87755,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-08-01 00:00:00,26,23,0.884615384615385,504,415,0.823412698412698,-89,0.7969,0.9,-0.1031,0.7932,0.95,-0.1568,1967.71,1.12,4885.6696,0.402751344462589,-2917.9596,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-09-01 00:00:00,26,22,0.846153846153846,480,393,0.81875,-87,0.7391,0.9,-0.1609,0.8248,0.95,-0.1252,1404.66,1.13,4929.29165,0.284961836250854,-3524.63165,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-10-01 00:00:00,26,22,0.846153846153846,488,408,0.836065573770492,-80,0.7978,0.9,-0.1022,0.8321,0.95,-0.1179,2440.49,1.14,4972.9137,0.490756555859797,-2532.4237,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-11-01 00:00:00,26,23,0.884615384615385,496,412,0.830645161290323,-84,0.7661,0.9,-0.1339,0.809,0.95,-0.141,2197.39,1.15,5016.53575,0.438029371165151,-2819.14575,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2015-12-01 00:00:00,26,21,0.807692307692308,504,392,0.777777777777778,-112,0.7346,0.9,-0.1654,0.7721,0.95,-0.1779,2481.71,1.05,4580.31525,0.54182078406066,-2098.60525,Critical,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-01-01 00:00:00,26,23,0.884615384615385,480,383,0.797916666666667,-97,0.7677,0.9,-0.1323,0.8575,0.95,-0.0924999999999999,5682.07,1.06,4623.9373,1.228838029443,1058.1327,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-02-01 00:00:00,26,22,0.846153846153846,488,422,0.864754098360656,-66,0.7483,0.9,-0.1517,0.8019,0.95,-0.1481,5516.5,1.07,4667.55935,1.18188106167306,848.94065,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-03-01 00:00:00,26,22,0.846153846153846,496,407,0.820564516129032,-89,0.8104,0.9,-0.0896,0.7579,0.95,-0.1921,5642.28,1.08,4711.1814,1.19763590508317,931.0986,Healthy,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-04-01 00:00:00,26,23,0.884615384615385,504,426,0.845238095238095,-78,0.7601,0.9,-0.1399,0.7603,0.95,-0.1897,6448.93,1.09,4754.80345,1.35629791384963,1694.12655,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-05-01 00:00:00,26,23,0.884615384615385,480,391,0.814583333333333,-89,0.7891,0.9,-0.1109,0.816,0.95,-0.134,12428.29,1.1,4798.4255,2.59007668244511,7629.8645,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-06-01 00:00:00,26,24,0.923076923076923,488,403,0.825819672131148,-85,0.7451,0.9,-0.1549,0.8149,0.95,-0.1351,13759.19,1.11,4842.04755,2.8416057169864,8917.14245,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-07-01 00:00:00,26,23,0.884615384615385,496,441,0.889112903225807,-55,0.8102,0.9,-0.0898,0.8309,0.95,-0.1191,7925.14,1.12,4885.6696,1.62211951459018,3039.4704,Healthy,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-08-01 00:00:00,26,24,0.923076923076923,504,397,0.787698412698413,-107,0.7586,0.9,-0.1414,0.7782,0.95,-0.1718,9186.15,1.13,4929.29165,1.86358419266996,4256.85835,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-09-01 00:00:00,26,22,0.846153846153846,480,374,0.779166666666667,-106,0.8032,0.9,-0.0968,0.8095,0.95,-0.1405,7989.47,1.14,4972.9137,1.60659735559055,3016.5563,Healthy,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-10-01 00:00:00,26,22,0.846153846153846,488,388,0.795081967213115,-100,0.7919,0.9,-0.1081,0.845,0.95,-0.105,9715.14,1.15,5016.53575,1.93662329626576,4698.60425,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-11-01 00:00:00,26,24,0.923076923076923,496,472,0.951612903225807,-24,0.7954,0.9,-0.1046,0.7815,0.95,-0.1685,11330.68,1.05,4580.31525,2.47377732351501,6750.36475,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2016-12-01 00:00:00,26,21,0.807692307692308,504,426,0.845238095238095,-78,0.7525,0.9,-0.1475,0.7952,0.95,-0.1548,14428.46,1.06,4623.9373,3.12038400693712,9804.5227,At Risk,Simulated field-force metrics; Sales/Target = real+derived
321500,1,Northeast,2017-01-01 00:00:00,26,22,0.846153846153846,480,398,0.829166666666667,-82,0.8183,0.9,-0.0817,0.8251,0.95,-0.1249,0,1.07,4667.55935,0,-4667.55935,Critical,Simulated field-force metrics; Sales/Target = real+derived
321510,1,Northeast,2015-01-01 00:00:00,26,19,0.730769230769231,492,271,0.550813008130081,-221,0.4534,0.9,-0.4466,0.5058,0.95,-0.4442,3736.05,1.08,3834.4746,0.974331659414304,-98.4246000000003,Critical,Simulated field-force metrics; Sales/Target = real+derived
321510,1,Northeast,2015-02-01 00:00:00,26,19,0.730769230769231,500,332,0.664,-168,0.5166,0.9,-0.3834,0.5667,0.95,-0.3833,4375.7,1.09,3869.97899444444,1.13067797171032,505.721005555555,Critical,Simulated field-force metrics; Sales/Target = real+derived
321510,1,Northeast,2015-03-01 00:00:00,26,19,0.730769230769231,508,279,0.549212598425197,-229,0.4782,0.9,-0.4218,0.5012,0.95,-0.4488,3861.13,1.1,3905.48338888889,0.988643303665028,-44.3533888888887,Critical,Simulated field-force metrics; Sales/Target = real+derived
321510,1,Northeast,2015-04-01 00:00:00,26,21,0.807692307692308,516,289,0.560077519379845,-227,0.5414,0.9,-0.3586,0.5044,0.95,-0.4456,3810.28,1.11,3940.98778333333,0.966833750694152,-130.707783333334,Critical,Simulated field-force metrics; Sales/Target = real+derived
321510,1,Northeast,2015-05-01 00:00:00,26,20,0.769230769230769,492,299,0.607723577235772,-193,0.5065,0.9,-0.3935,0.5294,0.95,-0.4206,2744.16,1.12,3976.49217777778,0.690095661531905,-1232.33217777778,Critical,Simulated field-force metrics; Sales/Target = real+derived
